Date,Archive_URL
20200107055535,https://web.archive.org/web/20200107055535/https://www.business-standard.com/economy-policy
20200204102704,https://web.archive.org/web/20200204102704/https://www.business-standard.com/economy-policy
20200303130909,https://web.archive.org/web/20200303130909/https://www.business-standard.com/economy-policy
20200401212735,https://web.archive.org/web/20200401212735/https://www.business-standard.com/economy-policy
20200505205119,https://web.archive.org/web/20200505205119/https://www.business-standard.com/economy-policy
20200601105452,https://web.archive.org/web/20200601105452/http://www.business-standard.com:80/economy-policy
20200701144227,https://web.archive.org/web/20200701144227/https://www.business-standard.com/economy-policy
20200801011728,https://web.archive.org/web/20200801011728/http://www.business-standard.com:80/economy-policy
20200901040404,https://web.archive.org/web/20200901040404/https://www.business-standard.com/economy-policy
20201001053219,https://web.archive.org/web/20201001053219/https://www.business-standard.com/economy-policy
20201104181300,https://web.archive.org/web/20201104181300/https://www.business-standard.com/economy-policy
20201202211538,https://web.archive.org/web/20201202211538/https://www.business-standard.com/economy-policy
20210102223914,https://web.archive.org/web/20210102223914/https://www.business-standard.com/economy-policy
20210201223419,https://web.archive.org/web/20210201223419/https://www.business-standard.com/economy-policy
20210305114908,https://web.archive.org/web/20210305114908/https://www.business-standard.com/economy-policy
20210410214251,https://web.archive.org/web/20210410214251/http://www.business-standard.com/economy-policy
20210501133745,https://web.archive.org/web/20210501133745/https://www.business-standard.com/economy-policy
20210606231255,https://web.archive.org/web/20210606231255/https://www.business-standard.com/economy-policy
20210706024946,https://web.archive.org/web/20210706024946/https://www.business-standard.com/economy-policy
20210803071454,https://web.archive.org/web/20210803071454/https://www.business-standard.com/economy-policy
20210901164656,https://web.archive.org/web/20210901164656/https://www.business-standard.com/economy-policy
20211005044452,https://web.archive.org/web/20211005044452/https://www.business-standard.com/economy-policy
20211102124945,https://web.archive.org/web/20211102124945/https://www.business-standard.com/economy-policy
20211201035446,https://web.archive.org/web/20211201035446/https://www.business-standard.com/economy-policy
20220104183408,https://web.archive.org/web/20220104183408/https://www.business-standard.com/economy-policy
20220201000920,https://web.archive.org/web/20220201000920/https://www.business-standard.com/economy-policy
20220301162832,https://web.archive.org/web/20220301162832/https://www.business-standard.com/economy-policy
20220401033144,https://web.archive.org/web/20220401033144/https://www.business-standard.com/economy-policy
20220503005122,https://web.archive.org/web/20220503005122/https://www.business-standard.com/economy-policy
20220601011126,https://web.archive.org/web/20220601011126/https://www.business-standard.com/economy-policy
20220706231457,https://web.archive.org/web/20220706231457/https://www.business-standard.com/economy-policy
20220804030453,https://web.archive.org/web/20220804030453/https://www.business-standard.com/economy-policy
20220901192944,https://web.archive.org/web/20220901192944/https://www.business-standard.com/economy-policy
20221005153030,https://web.archive.org/web/20221005153030/https://www.business-standard.com/economy-policy
20221104193540,https://web.archive.org/web/20221104193540/https://www.business-standard.com/economy-policy
20221201112724,https://web.archive.org/web/20221201112724/https://www.business-standard.com/economy-policy
